COMUNIDADE;VOB;CAMINHO_CASO_DESENV;VERSAO;DATA_ULTIMA_ALTERACAO
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901350\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901352\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901352\DOCEB124_CASO_DESENVOLVIMENTO_STEFANINI.DOC;\MAIN\1;2009-04-20
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901398\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901398\DOCEB124_CASO_DESENVOLVIMENTO_STEFANINI.DOC;\MAIN\1;2009-04-20
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901399\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_AAN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_ANTEPROJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_HOMOLOG.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_IMPLANT.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_PSN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_PTCA.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901418\DOCEB124_CASO_DESENVOLVIMENTO_PTCP.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901429\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901447\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901472\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901501\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901507\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901640\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901730\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901731\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901833\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901834\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901835\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901836\DOCEB124_CASO_DESENVOLVIMENTO_OS0001.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901836\DOCEB124_CASO_DESENVOLVIMENTO_OS0002.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_AAN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_ANTEPROJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_HOMOLOG.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_IMPLANT.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_PSN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_PTCA.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901856\DOCEB124_CASO_DESENVOLVIMENTO_PTCP.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901888\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901910\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901916\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901929\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200901969\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902038\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902134\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902147\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902273\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902275\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902281\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902282\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902285\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902286\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902330\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902331\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902335\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902376\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902379\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_AAN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_ANTEPROJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_HOMOLOG.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_IMPLANT.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_PSN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_PTCA.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902382\DOCEB124_CASO_DESENVOLVIMENTO_PTCP.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_AAN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_ANTEPROJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_HOMOLOG.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_IMPLANT.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ_2.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_PSN.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_PTCA.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902384\DOCEB124_CASO_DESENVOLVIMENTO_PTCP.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902409\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902545\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902545\DOCEB124_CASO_DESENVOLVIMENTO_OS0001.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902545\DOCEB124_CASO_DESENVOLVIMENTO_OS0002.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902596\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902607\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902608\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902608\DOCEB124_CASO_DESENVOLVIMENTO_1.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902608\DOCEB124_CASO_DESENVOLVIMENTO_OS0002.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902676\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902676\DOCEB124_CASO_DESENVOLVIMENTO_OS0002.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902685\DOCEB124_CASO_DESENVOLVIMENTO_ANTEPROJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902685\DOCEB124_CASO_DESENVOLVIMENTO_HOMOLOG.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902685\DOCEB124_CASO_DESENVOLVIMENTO_IMPLANT.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902685\DOCEB124_CASO_DESENVOLVIMENTO_PLANEJ.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902687\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902702\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902730\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902840\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902870\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902881\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902886\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902888\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902891\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902893\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
COMUNIDADE_NAO_ENCONTRADA;SIPAS_RJ;SIPAS_RJ\09-GER_PROJETOS\MANUTENCOES\EVOLUTIVA\CASO_DESENVOLVIMENTO\RJ200902895\DOCEB124_CASO_DESENVOLVIMENTO.DOC;\MAIN\1;2011-01-13
