VOB;SITE;SERVIDOR;DATA_CRIACAO;DB_SCHEMA;ACL_HABILITADO;FEATURE_LEVEL;USER_OWNER;COMUNIDADE;POSSUI_GRUPO_DOMAIN_USERS;MODELO_SEGURANCA;TAMANHO;PADRAO_PASTAS;POSSUI_PASTA_MODELAGEM;LOCK_PASTA_FONTES;DESC_PASTA_FONTES;LOCK_PASTA_BUILD;DESC_PASTA_BUILD;DATA_ULTIMA_ALTERACAO_VOB;DATA_ULTIMA_ALTERACAO_FONTES;DATA_ULTIMA_ALTERACAO_BUILD
GECEQ;BR;CBRSVAPRNT005;;80;NAO;9;S725925;;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIRSA;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIDIP;BR;CBRSVAPRNT005;;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIRFO;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CONTRATACOES;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SILOG;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CONTRATACOES;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIDCE;BR;CBRSVAPRNT005;;80;NAO;9;S725925;DEPOSITO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
TESTE_ACL_SP8;SP;CADSVAPRNT002;;80;SIM;9;S725933;ESTRUTURANTES_TI;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICOW;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICOW;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICOW;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIJUR_WEB;BR;CBRSVAPRNT005;2006-11-30 00:00:00;80;NAO;9;S725925;;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIJUR;BR;CBRSVAPRNT005;;80;NAO;9;S725925;INSTITUCIONAL;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIINP;BR;CBRSVAPRNT005;;80;NAO;9;S725925;MEIOS_PAGAMENTO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIIPP;SP;CADSVAPRNT002;2011-01-19 00:00:00;80;SIM;9;S725933;ADM;NAO;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SISNG;BR;CBRSVAPRNT005;;80;NAO;9;S725925;ARRECADACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIMPR;BR;CBRSVAPRNT005;;80;NAO;9;S725925;ARRECADACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SITMA;BR;CBRSVAPRNT005;;80;NAO;9;S725925;ARRECADACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIFGP;BR;CBRSVAPRNT005;;80;NAO;9;S725925;FUNDOS_GOVERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIACI_INTERNALIZACAO;BR;CBRSVAPRNT005;;80;NAO;9;S725925;HABITACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICLG;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CONTRATACOES;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIMPF;BR;CBRSVAPRNT005;;80;NAO;9;S725925;ESTRUTURANTES_TI;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SILIC;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CONTRATACOES;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIMTR;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CANAIS_CLIENTES;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SINET;BR;CBRSVAPRNT005;;80;NAO;9;S725925;SEGURANCA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIPNL;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CANAIS_INTERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIOPI_ATENDER;BR;CBRSVAPRNT005;;80;NAO;9;S725925;HABITACAO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIIAV;SP;CADSVAPRNT002;2018-12-12 00:00:00;54;NAO;5;S725933;DADOS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICRN;SP;CADSVAPRNT002;2016-09-28 00:00:00;54;NAO;5;S725933;CANAIS_INTERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIPNG;BR;CBRSVAPRNT005;;80;NAO;9;S725925;CANAIS_INTERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIRSP;BR;CBRSVAPRNT005;;80;NAO;9;S725925;FUNDOS_GOVERNO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SISET;BR;CBRSVAPRNT005;;80;NAO;9;S725925;SEGURANCA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIARJ;BR;CBRSVAPRNT005;;80;NAO;9;S725925;RISCO;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SISKO;BR;CBRSVAPRNT005;;80;NAO;9;S725925;PESSOAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICMO;BR;CBRSVAPRNT005;;80;NAO;9;S725925;PESSOAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SIOBS;BR;CBRSVAPRNT005;;80;NAO;9;S725925;SEGURANCA;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
SICED;BR;CBRSVAPRNT005;;80;NAO;9;S725925;PESSOAS;SIM;COMUNIDADES - (GRUPOS DF5222);None;None;None;None;None;None;None;None;None;None
